Event_ID,Source,Date,Time,Flight_Number,Orig,Dest,Fleet,Ship_Number,EDR_EQUIP,EDR_Min,EDR_Peak,Location,Turb_Level,G_Load,,Injury_1,Recordable_1,OSHA_1,Injury_2,Recordable_2,OSHA_2,Injury_3,Recordable_3,OSHA_3,Injury_4,Recordable_4,OSHA_4,Injury_5,Recordable_5,OSHA_5,Injury_6,Recordable_6,OSHA_6,Altitude,Flight_Phase,P1,P2,P3,P3A,P4,P5,P6,Comments
TRB16023,FOQA,21-Jul-16,18.7747,1816,DEN,ATL,739,3835,,,,34.020008535048/-84.9908725334418,3,1.792123795,0.663460731506348(0.37359418268523),0,,,,,,,,,,,,,,,,,,13018.069,Descent,3,,,,,,,FOQA flight record 5916768.
TRB16024,,22-Jul-16,,2542,ATL,JAN,717,9540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOQA did not detect turbulence on this flight. FOQA flight record 5960467.
TRB16025,,22-Jul-16,,2472,ATL,CHS,737,3602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FOQA did not capture this flight.
TRB16026,,22-Jul-16,,0370,MGA,ATL,320,3259,,,,33.5553503459959/-84.2125334463821,1,1.425784826,0.859377145767212(0.149751327489844),,,,,,,,,,,,,,,,,,,4471.314558,Approach,,,,,,,,FOQA did not capture this flight.
TRB16027,,24-Jul-16,,2337,ATL,DAY,M90,9219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Have pilot report for PAX whiplash for different flight leg (268683). FOQA did not capture this flight.
TRB16028,,25-Jul-16,,0147,SLC,ATL,767,3819,,,,34.2847850736431/-84.9967186233282,1,1.256409645,0.693222999572754(0.128097305738973),,,,,,,,,,,,,,,,,,,,,,,,,,,,"FOQA flight record 5928253. FOQA detected light turbulence during: climb, cruise, and descent."
TRB16029,,25-Jul-16,,0147,ATL,SCL,767,1603,,,,,,,,,,,,,,,,,,,,,,,,,,39256.72813,Cruise,,,,,,,,Non-FOQA aircraft.
TRB16030,,26-Jul-16,,0612,NGO,HNL,767,0188,,,,,,,,,,,,,,,,,,,,,,,,,,11216.18076,Descent,,,,,,,,Non-FOQA aircraft.
TRB16031,,29-Jul-16,,0763,DTW,EWR,320,3274,,,,,,,,,,,,,,,,,,,,,,,,,,8105.517863,Approach,,,,,,,,FOQA did not capture this flight.
TRB16032,,30-Jul-16,,1820,ATL,SLC,757,0670,,,,,,,,,,,,,,,,,,,,,,,,,,1525.592924,Approach,,,,,,,,FOQA did not capture this flight.
TRB16033,Pilot ASAP,31-Jul-16,31JUL161445,0278,KIX,HNL,747,6310,,,,,,,,FA,N,N,,,,,,,,,,,,,,,,3008.139358,Approach,2,Y,Y,,,,,FOQA did not capture this flight.
TRB16034,FOQA,31-Jul-16,21.1309,1861,LIT,ATL,319,3148,,,,34.5099156855279/-86.8959737136766,1,1.351565838,0.753908157348633(0.12695161118867),0,,,,,,,,,,,,,,,,,,29087.952,Cruise,1,,Y,,Y,,,FOQA flight record 5957085.
TRB16035,FOQA,26-Jul-16,13.6527,1246,JAC,SLC,319,3165,,,,40.9449273145638/-112.015359225856,2,1.300784469,0.449219882488251(0.248342325291374),0,,,,,,,,,,,,,,,,,,6706.105,Approach,2,,,,,,,FOQA flight record 5976672.
TRB16036,Pilot ASAP,19-Jul-16,19JUL16 2150,0131,ATL,MEX,73W,3603,,,,,,,,0,,,,,,,,,,,,,,,,,,4081.42433,Climb,2,,Y,,Y,10,Y,FOQA did not capture this flight.
TRB16037,Pilot ASAP,14-Jul-16,14JUL16 2045,0721,BNA,ATL,319,3169,,,,35.5119812289897/-86.4209248034283,1,1.160159111,0.621095299720764(0.126415550802911),0,,,,,,,,,,,,,,,,,,8093.567196,Climb,2,Y,Y,,Y,,,FOQA did not detect turbulence during this flight. FOQA flight record 5939828.
TRB16038,Pilot ASAP,11-Jul-16,12JUL16 0035,0617,SLC,CLT,320,3273,,,,,,,,0,,,,,,,,,,,,,,,,,,35167.58071,Cruise,2,,Y,,,,,FOQA did not detect turbulence on this flight. FOQA flight record 5915071.
TRB16039,Pilot ASAP,10-Jul-16,11JUL16 0230,2250,ATL,YYZ,717,9530,,,,,,,,0,,,,,,,,,,,,,,,,,,2014.321676,Approach,2,,,,,,,FOQA did not detect turbulence on this flight. FOQA flight record 5932444.
TRB16040,FOQA,6-Jul-16,18.2813,0392,PTY,ATL,738,3739,,,,33.1640514186519/-83.8585977679389,3,1.989010334,0.722984790802001(0.315189819410017),0,,,,,,,,,,,,,,,,,,4736.645,Approach,3,,,,,,,FOQA flight record 5881927.
